Rank,Player,Teams,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS2,TD3,FL,G,FPTS,FPTS/G,ROST
190,Rivaldo Fairweather (DAL),DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
191,Joshua Simon (ATL),ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
192,Jelani Woods (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00%
193,Cole Turner (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
194,Michael Jacobson (NO),NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
195,Elijah Arroyo (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.10%
196,Luke Lachey (HOU),HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
197,Jake Briningstool (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
198,Jalin Conyers (MIA),MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
199,Thomas Fidone II (NYG),NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
200,Mark Redman (LAR),LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
201,James Mitchell (CAR),CAR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
202,Baylor Cupp (FA),FA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
203,Terrance Ferguson (LAR),LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.70%
204,Zaire Mitchell-Paden (BAL),BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
205,Rodney Williams (FA),FA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
206,Jake Tonges (SF),SF,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
207,Thomas Odukoya (TEN),TEN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.00%
208,Zack Kuntz (NYJ),NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.50%
